ID;Data;WIG20_MAX_dif;WIG20_MAX;WIG20_MIN;FTSE 100_Max_dif;FTSE 100_Max;FTSE 100_Min_dif;FTSE 100_Min;Dow Jones_Max_dif;Dow Jones_Max;Dow Jones_Min_dif;Dow Jones_Min;DAX_Max_dif;DAX_Max;DAX_Min_dif;DAX_Min;SMI_Max_dif;SMI_Max;SMI_Min_dif;SMI_Min;CAC40_Max_dif;CAC40_Max;CAC40_Min_dif;CAC40_Min;FTSE MIB_Max_dif;FTSE MIB_Max;FTSE MIB_Min_dif;FTSE MIB_Min;GBP/PLN_Max_dif;GBP/PLN_Max;GBP/PLN_Min_dif;GBP/PLN_Min;USD/PLN_Max_dif;USD/PLN_Max;USD/PLN_Min_dif;USD/PLN_Min;EUR/PLN_Max_dif;EUR/PLN_Max;EUR/PLN_Min_dif;EUR/PLN_Min;CHF/PLN_Max_dif;CHF/PLN_Max;CHF/PLN_Min_dif;CHF/PLN_Min;
44;22.03.2011;-8,97;2782,04;2755,91;13,70;5814;-20,00;5742,3;-27,32;12050,98;142,74;12002,85;-3,72;6826,03;-16,24;6765,06;23,89;6251,86;53,57;6207,93;22,21;3926,66;21,46;3876,71;262,78;21789,89;165,96;21455,76;-0,01;4,67;0,00;4,6;-0,02;2,85;0,00;2,83;-0,04;4,05;0,00;4,01;-0,05;3,15;-0,01;3,11;
45;23.03.2011;0,13;2782,17;2761,04;-11,20;5802,8;-11,00;5731,3;65,16;12116,14;-30,24;11972,61;-18,65;6807,38;-45,04;6720,02;11,81;6263,67;-8,11;6199,82;-8,66;3918;-1,45;3875,26;-76,35;21713,54;41,31;21497,07;0,01;4,68;0,02;4,62;0,02;2,87;0,01;2,84;0,01;4,06;0,01;4,02;0,03;3,18;0,02;3,13;
46;24.03.2011;31,72;2813,89;2774,29;90,20;5893;49,00;5780,3;75,04;12191,18;114,93;12087,54;134,34;6941,72;67,02;6787,04;58,41;6322,08;35,98;6235,8;55,02;3973,02;10,57;3885,83;310,37;22023,91;114,83;21611,9;-0,02;4,66;-0,06;4,56;0,00;2,87;-0,01;2,83;-0,02;4,04;-0,01;4,01;-0,02;3,16;-0,02;3,11;
47;25.03.2011;19,12;2833,01;2801,23;26,30;5919,3;96,20;5876,5;68,61;12259,79;83,17;12170,71;43,53;6985,25;133,53;6920,57;51,58;6373,66;88,24;6324,04;13,54;3986,56;74,36;3960,19;108,70;22132,61;328,88;21940,78;-0,08;4,58;-0,02;4,54;-0,01;2,86;0,00;2,83;-0,01;4,03;-0,02;3,99;-0,03;3,13;-0,02;3,09;
48;28.03.2011;-10,30;2822,71;2802,14;5,00;5924,3;23,50;5900;13,13;12272,92;27,17;12197,88;-4,06;6981,19;-4,99;6915,58;9,14;6382,8;23,21;6347,25;4,76;3991,32;-0,34;3959,85;-28,34;22104,27;-41,68;21899,1;0,01;4,59;-0,02;4,52;0,00;2,86;0,00;2,83;-0,01;4,02;-0,01;3,98;-0,02;3,11;-0,01;3,08;
49;29.03.2011;23,89;2846,6;2806,43;8,70;5933;-22,00;5878;12,49;12285,41;-24,37;12173,51;-21,03;6960,16;-48,16;6867,42;-1,86;6380,94;-17,60;6329,65;-0,59;3990,73;-10,65;3949,2;-54,58;22049,69;-303,09;21596,01;-0,03;4,56;-0,02;4,5;-0,02;2,84;-0,01;2,82;0,00;4,02;-0,01;3,97;0,00;3,11;-0,02;3,06;
50;30.03.2011;-24,77;2821,83;2805,11;37,10;5970,1;63,50;5941,5;98,05;12383,46;106,56;12280,07;105,11;7065,27;135,35;7002,77;32,81;6413,75;57,57;6387,22;40,45;4031,18;62,51;4011,71;-29,75;22019,94;274,39;21870,4;0,03;4,59;0,01;4,51;0,02;2,86;0,00;2,82;0,00;4,02;0,00;3,97;-0,01;3,1;-0,01;3,05;
51;31.03.2011;55,41;2877,24;2826,13;3,90;5974;-23,20;5918,3;-1,78;12381,68;38,94;12319,01;14,49;7079,76;38,54;7041,31;-11,13;6402,62;-29,67;6357,55;6,22;4037,4;-22,53;3989,18;17,12;22037,06;-239,18;21631,22;0,00;4,59;0,01;4,52;-0,01;2,85;0,00;2,82;0,02;4,04;0,03;4;0,02;3,12;0,02;3,07;
52;01.04.2011;20,21;2897,45;2871,32;41,30;6015,3;10,90;5929,2;38,03;12419,71;2,01;12321,02;112,62;7192,38;45,25;7086,56;44,47;6447,09;26,24;6383,79;18,48;4055,88;13,05;4002,23;-18,40;22018,66;-37,31;21593,91;0,00;4,59;0,01;4,53;0,02;2,87;0,00;2,82;0,01;4,05;0,00;4;-0,02;3,1;-0,03;3,04;
53;04.04.2011;-7,53;2889,92;2869,49;19,70;6035;56,80;5986;-12,30;12407,41;48,13;12369,15;7,88;7200,26;81,68;7168,24;-14,89;6432,2;18,53;6402,32;3,77;4059,65;37,37;4039,6;50,58;22069,24;204,32;21798,23;0,00;4,59;0,01;4,54;-0,03;2,84;0,00;2,82;0,00;4,05;0,00;4;-0,02;3,08;0,00;3,04;
