ID;WIG20_MAX;WIG20_MIN;FTSE 100_Max;FTSE 100_Min;Dow Jones_Max;Dow Jones_Min;DAX_Max;DAX_Min;SMI_Max;SMI_Min;CAC40_Max;CAC40_Min;FTSE MIB_Max;FTSE MIB_Min;GBP/PLN_Max;GBP/PLN_Min;USD/PLN_Max;USD/PLN_Min;EUR/PLN_Max;EUR/PLN_Min;CHF/PLN_Max;CHF/PLN_Min
93;1698,82;1668,62;7578,85;7513,26;33870,77;33627,74;13660,34;13525,69;11241,18;11125,8;6549,13;6488;22931,4;22522,49;5,6146;5,5764;4,7373;4,6804;4,7648;4,7212;4,9461;4,8482
94;1703,78;1672,48;7541,89;7493,66;34043,25;33845,17;13775,66;13638,16;11186,5;11090,08;6576,37;6519,57;22985,7;22786,32;5,6147;5,5572;4,6978;4,6121;4,7368;4,6966;4,9097;4,8254
95;1736,8;1679,71;7554,04;7501,54;34160,84;33828,41;13930,57;13610,44;11192,68;11114,6;6608,64;6517,99;23153,82;22726,49;5,6104;5,5451;4,6388;4,584;4,7128;4,6615;4,8799;4,8218
96;1763,25;1730,05;7563,67;7509,15;34281,16;33852,57;13947,85;13824,97;11185,92;11085,13;6608,83;6568,58;23153,68;22961,54;5,5922;5,5402;4,6472;4,5802;4,7085;4,6624;4,8923;4,8136
97;1737,25;1716,38;7516,83;7464,12;33765,02;33398,32;13813,05;13705,02;11178,04;11110,8;6587,84;6539,75;23015,45;22865,82;5,5528;5,4982;4,56;4,5335;4,6936;4,6528;4,8357;4,8063
98;1724,98;1690,24;7515;7460,11;33649,85;33290,34;13763,26;13661,17;11205,01;11114,72;6562,32;6499,63;22870,02;22755,36;5,556;5,5223;4,555;4,5141;4,692;4,6654;4,8312;4,7962
99;1702,17;1661,42;7520,72;7468,64;33364,17;33130,63;13715,56;13455,7;11170,46;11065,11;6545,64;6453,79;22733,01;22354,02;5,5964;5,5283;4,6234;4,5081;4,7262;4,6673;4,8653;4,8148
100;1706,57;1682,49;7504,64;7475,04;32875,96;32702,66;13745,59;13514,71;11177,37;11100,66;6530,35;6480,06;22770,86;22469,68;5,5823;5,5534;4,6208;4,5877;4,7144;4,6936;4,8442;4,7987
101;1695,78;1652,97;7513,76;7439,74;33109,96;32769,81;13745,59;13604,55;11210,14;11144,77;6564,24;6503,27;22827,98;22559,87;5,5992;5,5612;4,6388;4,5981;4,7188;4,6933;4,8451;4,7948
102;1696,43;1643,02;7470,63;7420,16;32813,44;32489,62;13693,34;13562,62;11220,47;11112,17;6523,03;6449,72;22732,03;22499,65;5,6099;5,5651;4,6438;4,5868;4,7208;4,6869;4,8292;4,8029
103;1697,16;1666,85;7491,74;7417,49;32828,11;32654,4;13792,88;13628,57;11230,08;11151,08;6555,71;6475,05;22879,89;22589,57;5,6542;5,5874;4,6472;4,5945;4,7357;4,6929;4,846;4,7939
104;1702,32;1679,92;7445,9;7372,71;32901,43;32515,41;13595,07;13388,34;11200,36;11054,02;6475,54;6398,99;22581,15;22300,29;5,6663;5,6007;4,6625;4,5974;4,7361;4,687;4,8653;4,8241
105;1728,48;1709,85;7433,34;7386,76;32772,93;32388,3;13484,55;13335,39;11135,96;11019,63;6429,05;6381,43;22402,39;22156,37;5,6667;5,6051;4,6533;4,5833;4,7335;4,7005;4,8649;4,8264
106;1736,47;1714,65;7471,87;7408,94;32971,43;32642,38;13570,22;13464,9;;;6484,08;6434,12;22808,2;22429,47;5,6754;5,6213;4,6463;4,5828;4,7554;4,7066;4,8854;4,848
107;1721,11;1674,05;7441,2;7345,25;32906,21;32495,87;13515,03;13340,59;11216,76;11145,91;6472,27;6397,91;22494,08;22119,54;5,7025;5,6188;4,6844;4,6139;4,7749;4,7207;4,9102;4,8769
108;1679,66;1652,86;7396,2;7308,99;32609,53;31984,67;13289,39;13091,26;11129,33;11041,17;6339,21;6236,57;21932,06;21636,19;5,7501;5,6722;4,7424;4,6657;4,8035;4,7502;4,9334;4,8646
109;1670,03;1632,23;7365,22;7306,28;32334,95;31803,94;13204,58;13089,96;11138,03;11056,74;6267,8;6199,93;21497,83;21252,41;5,7249;5,642;4,7512;4,6773;4,8173;4,7469;4,9308;4,7714
110;1683,51;1646,3;7365,37;7301,19;31950,04;31705,93;13197,95;13042,41;11144,32;11074,15;6243,86;6194,96;21371,04;21146,17;5,6729;5,547;4,716;4,6042;4,7702;4,7049;4,8962;4,7472
111;1708,72;1682,95;7309,65;7242,9;32027,06;31823,05;13337,06;13151,86;11156,32;11029,69;6260,13;6177,14;21413,62;21115,01;5,5827;5,5226;4,657;4,5782;4,7457;4,6863;4,8319;4,8106
112;1710,51;1677,44;7315,34;7254,02;32219,25;31731,47;13367,04;13171,14;11178,03;11075,97;6247,35;6168,77;21385,17;21093,98;5,6285;5,5619;4,7104;4,6226;4,7851;4,7347;4,8672;4,7759
113;1702,4;1665,34;7274,73;7200,14;32040,63;31535,24;13318,64;13097,75;11134,74;11002,17;6233,98;6143,06;21322,81;20724,86;5,6189;5,5368;4,6928;4,6281;4,7874;4,7474;4,8325;4,7741
114;1701,91;1678,74;7347,6;7253,56;31943,95;31648,33;13399,4;13129,13;11188,31;11052,95;6245,47;6151,36;21841,55;21206,89;5,6364;5,5567;4,7077;4,6238;4,7931;4,7415;4,8465;4,7802
115;1681,28;1648,39;7308,99;7174,4;31842,25;31165,91;13351,2;12827,89;11143,06;10939,51;6213,88;6028,79;21704,78;21002,38;5,661;5,5627;4,741;4,6281;4,8039;4,7471;4,8479;4,8071
116;1670,33;1632,83;7268,88;7159,01;31643,32;30982,97;13062,23;12913,69;11114,78;10993,31;6136,02;6059,87;21294,34;20931,05;5,6597;5,6086;4,7463;4,6859;4,8038;4,7631;4,8661;4,8327
