WIG20_MAX_DIF;WIG20_MAX_PRC;WIG20_MAX;WIG20_MIN;FTSE 100_Max;FTSE 100_Max_DIF;FTSE 100_Max_PRC;FTSE 100_Min;FTSE 100_Min_DIF;Dow Jones_Max;Dow Jones_Max_PRC;Dow Jones_Max_DIF;Dow Jones_Min;Dow Jones_Min_DIF;DAX_Max;DAX_Max_PRC;DAX_Max_DIF;DAX_Min;DAX_Min_DIF;SMI_Max;SMI_Max_PRC;SMI_Max_DIF;SMI_Min;SMI_Min_DIF;CAC40_Max;CAC40_Max_PRC;CAC40_Max_DIF;CAC40_Min;CAC40_Min_DIF;FTSE MIB_Max;FTSE MIB_Max_PRC;FTSE MIB_Max_DIF;FTSE MIB_Min;FTSE MIB_Min_DIF;GBP/PLN_Max.;GBP/PLN_Max._PRC;GBP/PLN_Max._DIF;GBP/PLN_Min.;GBP/PLN_Min._DIF;USD/PLN_Max.;USD/PLN_Max._PRC;USD/PLN_Max._DIF;USD/PLN_Min.;USD/PLN_Min._DIF;EUR/PLN_Max.;EUR/PLN_Max._PRC;EUR/PLN_Max._DIF;EUR/PLN_Min.;EUR/PLN_Min._DIF;CHF/PLN_Max.;CHF/PLN_Max._PRC;CHF/PLN_Max._DIF;CHF/PLN_Min.;CHF/PLN_Min._DIF
-24,97;-0,013991;1759,79;1619,03;7405,09;-8,73;-0,001178;7253,36;-64,21;33727,73;-0,006945373;-235,89;33167,82;-366,45;14157,25;-0,018981816;-273,93;13599,35;-644;11147,68;0,001633497;18,18;10846,41;-146,69;6573,85;-0,01324213;-88,22;6381,42;-222,14;24440,11;-0,011524345;-284,94;23668,79;-843,62;5,44;0,011152416;0,06;5,34;0,02;4,75;0,039387309;0,18;4,59;0,07;4,75;0,006355932;0,03;4,68;0,01;4,8;-0,008264463;-0,04;4,74;-0,05
-67,07;-0,038113;1692,72;1638,45;7307,8;-97,29;-0,013138;7263,46;10,1;33062,52;-0,01972294;-665,21;32479,06;-688,76;13691,12;-0,03292518;-466,13;13557,08;-42,27;10911,45;-0,021190956;-236,23;10803,04;-43,37;6446,5;-0,01937221;-127,35;6405,84;24,42;23847,33;-0,024254392;-592,78;23626,45;-42,34;5,4;-0,007352941;-0,04;5,33;-0,01;4,72;-0,006315789;-0,03;4,65;0,06;4,73;-0,004210526;-0,02;4,68;0;4,79;-0,002083333;-0,01;4,72;-0,02
-34,2;-0,020204;1658,52;1602,48;7313,46;5,66;0,000775;7244,83;-18,63;33354,34;0,008826308;291,82;32831,46;352,4;13689,61;-0,00011029;-1,51;13487,91;-69,17;10845,27;-0,006065188;-66,18;10718,32;-84,72;6451,16;0,000722873;4,66;6378,32;-27,52;23731,73;-0,004847503;-115,6;23378,27;-248,18;5,4;0;0;5,36;0,03;4,71;-0,002118644;-0,01;4,64;-0,01;4,7;-0,006342495;-0,03;4,67;-0,01;4,75;-0,008350731;-0,04;4,71;-0,01
-13,77;-0,008303;1644,75;1600,71;7346,66;33,2;0,004540;7288;43,17;32895,34;-0,013761328;-459;32426,08;-405,38;13611,3;-0,005720397;-78,31;13391;-96,91;10806,62;-0,003563766;-38,65;10712,88;-5,44;6442,41;-0,001356345;-8,75;6363,7;-14,62;23525,01;-0,008710701;-206,72;23158,32;-219,95;5,39;-0,001851852;-0,01;5,32;-0,04;4,73;0,004246285;0,02;4,66;0,02;4,7;0;0;4,66;-0,01;4,76;0,002105263;0,01;4,71;0
-7,38;-0,004487;1637,37;1569,01;7376,23;29,57;0,004025;7188,63;-99,37;32610,6;-0,008655937;-284,74;31938,92;-487,16;13542,35;-0,005065644;-68,95;13193,51;-197,49;10852,48;0,004243695;45,86;10707,62;-5,26;6466,32;0,003711344;23,91;6289,07;-74,63;23392,21;-0,005645056;-132,8;22653,4;-504,92;5,4;0,001855288;0,01;5,33;0,01;4,82;0,019027484;0,09;4,7;0,04;4,7;0;0;4,67;0,01;4,77;0,00210084;0,01;4,72;0,01
-25,28;-0,015439;1612,09;1538,04;7188,63;-187,6;-0,025433;7076,47;-112,16;32185,71;-0,013029199;-424,89;31728,85;-210,07;13194,32;-0,02569938;-348,03;13022,64;-170,87;10741,52;-0,010224391;-110,96;10633,38;-74,24;6245,69;-0,03411987;-220,63;6191,73;-97,34;22706,02;-0,029334124;-686,19;22507,35;-146,05;5,47;0,012962963;0,07;5,37;0,04;4,85;0,006224066;0,03;4,78;0,08;4,72;0,004255319;0,02;4,69;0,02;4,79;0,004192872;0,02;4,74;0,02
-52,12;-0,032331;1559,97;1545,19;7205,07;16,44;0,002287;7130,5;54,03;33070,28;0,027483315;884,57;32142,98;414,13;13398,64;0,015485451;204,32;13255,07;232,43;10864,62;0,011460203;123,1;10766,77;133,39;6376,29;0,02091042;130,6;6273,55;81,82;22970,36;0,011641847;264,34;22778,13;270,78;5,5;0,005484461;0,03;5,42;0,05;4,8;-0,010309278;-0,05;4,72;-0,06;4,73;0,002118644;0,01;4,67;-0,02;4,79;0;0;4,73;-0,01
14;0,008975;1573,97;1506,41;7132,85;-72,22;-0,010023;7030,12;-100,38;32883,86;-0,005637086;-186,42;32586,93;443,95;13307,09;-0,006832783;-91,55;13216,48;-38,59;10850,31;-0,001317119;-14,31;10746,19;-20,58;6293,15;-0,01303893;-83,14;6244,08;-29,47;22725,16;-0,010674626;-245,2;22459,18;-318,95;5,52;0,003636364;0,02;5,46;0,04;4,78;-0,004166667;-0,02;4,73;0,01;4,74;0,002114165;0,01;4,7;0,03;4,78;-0,002087683;-0,01;4,74;0,01
-37,69;-0,023946;1536,28;1481,23;7073,69;-59,16;-0,008294;6997,54;-32,58;32888,75;0,000148705;4,89;32158,38;-428,55;13250,66;-0,004240597;-56,43;13051,25;-165,23;10783,54;-0,006153741;-66,77;10635,05;-111,14;6278,77;-0,002285024;-14,38;6183,41;-60,67;22560,23;-0,007257595;-164,93;22254,88;-204,3;5,51;-0,001811594;-0,01;5,46;0;4,77;-0,00209205;-0,01;4,72;-0,01;4,74;0;0;4,71;0,01;4,79;0,00209205;0,01;4,74;0
-19,46;-0,012667;1516,82;1474,43;7093,05;19,36;0,002737;7034,24;36,7;32387,35;-0,015245335;-501,4;31994,43;-163,95;13259,49;0,000666382;8,83;13062,04;10,79;10789,95;0,000594424;6,41;10702,49;67,44;6272,2;-0,001046383;-6,57;6194,33;10,92;22633,89;0,003265038;73,66;22187,62;-67,26;5,5;-0,001814882;-0,01;5,46;0;4,76;-0,002096436;-0,01;4,7;-0,02;4,77;0,006329114;0,03;4,72;0,01;4,8;0,002087683;0,01;4,76;0,02
-10,08;-0,006645;1506,74;1443,41;7057,42;-35,63;-0,005023;6960,11;-74,13;32171,98;-0,006649819;-215,37;31738,44;-255,99;13203,24;-0,004242245;-56,25;13023,4;-38,64;10821,29;0,002904555;31,34;10689,81;-12,68;6282,75;0,001682025;10,55;6219,33;25;22405,47;-0,010091946;-228,42;22130,1;-57,52;5,52;0,003636364;0,02;5,47;0,01;4,8;0,008403361;0,04;4,7;0;4,78;0,002096436;0,01;4,74;0,02;4,83;0,00625;0,03;4,77;0,01
-19,14;-0,012703;1487,6;1422,44;7025,22;-32,2;-0,004563;6949,24;-10,87;31875,34;-0,009220446;-296,64;31431,09;-307,35;13053,24;-0,011360848;-150;12789,26;-234,14;10773,76;-0,004392267;-47,53;10629,55;-60,26;6253,12;-0,004716088;-29,63;6135,38;-83,95;22289,85;-0,005160347;-115,62;21857,94;-272,16;5,52;0;0;5,46;-0,01;4,86;0,0125;0,06;4,77;0,07;4,79;0,00209205;0,01;4,76;0,02;4,85;0,004140787;0,02;4,79;0,02
-37,27;-0,025054;1450,33;1411,21;7047,37;22,15;0,003153;6914,66;-34,58;31602,39;-0,008563046;-272,95;31165,23;-265,86;13020,45;-0,00251202;-32,79;12747,38;-41,88;10628,79;-0,013455841;-144,97;10472,38;-157,17;6175,62;-0,012393813;-77,5;6041,14;-94,24;22140,99;-0,006678376;-148,86;21570,5;-287,44;5,53;0,001811594;0,01;5,46;0;4,89;0,00617284;0,03;4,83;0,06;4,8;0,002087683;0,01;4,76;0;4,88;0,006185567;0,03;4,83;0,04
